"","WT.GSM130365","WT.GSM130366","WT.GSM130367","KO.GSM130368","KO.GSM130369","KO.GSM130370"
"100001_at",3.52356195605701,2.48542682717024,6.1106138055009,3.97269265400426,5.16992500144231,5.39231742277876
"100002_at",4.35755200461808,5.01792190799726,6.5438051759644,4.99095486039699,3.84799690655495,4.51727569320958
"100003_at",6.17791779219584,6.4757334309664,6.30742852519225,6.33091687811462,7.02347715183043,6.43796008833447
"100004_at",8.02790599656988,7.82145511910246,8.51214785854752,8.75488750216347,8.80509894811724,8.17042585027251
"100005_at",10.0850740530368,10.6032554245468,10.5382859493041,10.0528397192055,10.415636149853,10.4880409522888
"100006_at",5.63517394667492,5.72519581722666,3.90689059560852,4.68929916053589,5.60880924267552,5.77610398807316
"100007_at",9.90598862931413,9.72553667843106,10.3579917836311,9.95695689391481,9.97842446544086,9.68929916053589
"100009_r_at",12.4074802220967,12.464724417,12.0988874422783,12.6527105541587,12.835102979491,12.9280186380472
"100010_at",8.84799690655495,9.16942397867607,8.77478705960117,9.23242092717608,8.91109233158713,8.93191939010004
"100011_at",9.48401725691557,9.52630360620646,9.45224124043082,9.83336450686459,9.81985974678364,9.53313502348026
"100012_at",8.99746178111285,9.03809592468451,9.22593041117105,10.3379563365744,10.1530452895038,10.0265234425198
"100013_at",5.36106648879432,5.40599235967584,5.77873424411784,6.92481250360578,5.41616416473313,6.21916852046216
"100014_at",8.56757586852411,8.87866404280189,8.85393328867793,8.15583017155653,7.85549144310187,8.3544697921574
"100015_at",8.28355142317431,8.98953642056108,8.64132926174569,9.06339508128851,9.23840473932508,9.5753501525239
"100016_at",8.3019533951261,8.03837033173068,8.63807383718072,8.40811740799184,7.8814199080924,8.43712784427281
"100017_at",6.60436789989375,7.08214904135387,7.61397358738023,7.09169983413681,7.23266075679027,7.10852445677817
"100018_at",7.72860081064319,7.92065059456398,7.86789646399265,6.91647664443772,8.0703893278914,7.82845387393049
"100019_at",8.44252886873253,7.94016675048282,7.59320435406329,7.62131930101419,8.63517394667492,8.06177619758669
"100020_at",9.02014657311178,8.85611423397746,9.02624677264819,8.90448409790142,9.07547914948802,8.89542381038297
"100021_at",4.81762325751143,4.62058641045188,5.12928301694497,4.35755200461808,4.44625622988956,4.62643913669732
"100022_at",7.46107011403305,7.45285896471381,8.21771541135067,7.82336724004624,7.62497817956904,7.81890167588564
"100023_at",12.0546721440598,12.0625521393768,12.1194275110673,12.5597594639826,12.5937412490017,12.5893468471386
"100024_at",9.51234542034734,9.53702421586357,9.28239346898991,9.44356521317828,9.29737486052832,9.0639343057541
"100026_at",11.3200671711298,11.4028521888306,11.5644353325467,12.306716793157,12.1343300517706,12.084874808699
"100027_s_at",10.1740518136308,9.64583853290715,10.3664315051849,10.1242505797869,10.1745512320835,9.9344280406268
"100028_r_at",7.58571370877816,6.85174904141606,8.49545533300987,8.0405637111587,6.96693797927846,6.58195375084882
"100029_at",10.7349635934755,10.8274221018864,11.113286369088,11.0515488384404,11.1280587831216,10.9048603778756
"100030_at",11.2966868253634,11.3015533529248,11.2335597629309,11.6397928932793,11.6005633955712,11.3810562028391
"100032_at",9.83873121233002,9.41743061254603,9.8589134706793,9.56033283421244,9.6398833131998,9.63008507000212
"100033_at",11.2016338611697,11.2590959061793,11.4281507678065,11.2683080623977,11.3938730627884,11.3169037365921
"100034_at",2.84799690655495,6.06608919045777,3.52356195605701,4.03562390973072,2.65535182861255,3.79701297783614
"100035_at",3.6667565918848,3.8972404255748,3.43295940727611,5.03562390973072,5.10852445677817,4.8073549220576
"100037_at",10.7465982939589,10.656782364219,10.6792161677352,10.7604704685404,10.6139735873802,10.6542779952612
"100039_at",9.36785153448991,10.1342979608596,9.71355835640479,10.3700334693294,9.69974594797101,9.85393328867793
"100040_at",9.47674620393947,9.61194694181998,9.7147606739083,9.49245409406421,9.46740176520507,9.73674015545321
"100041_at",11.507844182447,11.5545888516776,11.5803056828324,12.2196525651038,12.0767822009458,12.0033773602023
"100042_at",8.71699089440494,8.84674402324487,8.75888943272096,8.80671071796523,8.79798569056491,8.99265514938683
"100043_f_at",7.83605035505807,8.3169602873649,7.61544572530479,8.08268130295035,7.99604972751976,7.94544383637791
"100044_at",4.61470984411521,5.25171909260596,4.57893871309339,2.70043971814109,2.4594316186373,5.0746766862945
"100046_at",11.7005264159591,11.7660733359458,11.6751190388253,12.2492023588716,12.0586682503406,12.0423775826846
"100047_at",4.54843662469604,3.33628338786443,3.43295940727611,3.95419631038688,3.91647664443772,4.08746284125034
"100048_at",4.51727569320958,6.4708621994137,6.95652136333312,6.6906964439777,5.3110671022556,6.88630626345243
"100049_at",3.40599235967584,1.88752527074159,3.95419631038688,4.99548451887751,3.40599235967584,2.98185265328974
"100050_at",9.73521752202334,9.70511396067767,9.77165452814055,9.54515755172947,9.54631572281727,9.39167321868639
"100051_at",10.1802821525626,10.0629905306365,10.2422213950984,10.3998119593257,10.2881739681123,9.973553878808
"100052_at",4.02680005934372,3.56071495447448,5.05311133645956,5.05311133645956,4.33628338786443,4.12101540096137
"100054_s_at",9.1103528023268,9.05311133645956,8.98384867402245,9.00814845991009,8.59507095419544,8.8860013506243
"100056_at",9.02097993890421,8.74483383749955,9.02458563827827,9.36894291440495,9.2749604721406,9.25313836969129
"100057_at",9.54225804976692,9.4093909361377,9.10695545712283,8.90237511448603,9.01820017881323,9.33962734758039
"100058_at",5.39231742277876,7.81634370528486,8.30697305714083,8.24269776790801,6.88752527074159,7.80348537559595
"100059_at",10.0980320829605,10.1628947993748,10.177045734375,10.0533829025857,10.0102483511753,9.9047851297316
"100060_i_at",3.91647664443772,2.13750352374994,3.26303440583379,3.01792190799726,4.15380533607904,2.32192809488736
"100061_f_at",6.21916852046216,4.67807190511264,5.97039353791468,6.38024459047818,7.22689381357139,6.65535182861255
"100062_at",10.3379563365744,10.7558890260085,10.4625022725973,10.6006563078263,10.8333645068646,10.7941721472785
"100064_f_at",12.2128003344294,12.2995228579487,11.9777092331418,10.6121313000134,10.6563354741987,10.758889432721
"100065_r_at",9.32687885483841,9.10904707770071,8.61985314739117,7.64889680647525,8.08852325661663,7.99265514938683
"100066_at",11.5578944354121,11.7284732683153,11.7749517414164,11.4629111997658,11.3525952311343,11.4462045268759
"100067_at",4.26303440583379,6.1168637576909,5.41953889151378,4.64385618977472,6.63081315229913,4.86294724802092
"100068_at",6.24412594328373,5.86789646399265,6.4870360800319,6.36806987653208,5.4757334309664,5.34340782229781
"100069_at",6.67383905599044,6.86170728658586,7.47897180503294,5.86294724802092,7.19081236791614,6.4110872267986
"100071_at",5.15380533607904,7.17292748960384,6.94016675048282,6.68650052718322,7.21042783040149,5.70043971814109
"100072_at",10.0870649844548,9.85984534392145,10.0961880463201,10.0298393490725,9.97384083953315,9.88798213305845
"100073_at",9.34074028063018,9.1814007617393,9.01150682039669,8.10643207781693,7.95419631038687,8.0805510773276
"100074_at",10.6681758689701,10.7771731080042,10.0906417519178,10.6492561775173,10.5482439442228,10.6166407322565
"100078_at",4.93545974780529,6.02901108665907,4.69488019279919,5.0746766862945,6.06177619758669,6.04875931191986
"100079_at",10.6615999762777,10.6452080827747,10.441284271927,10.496853777388,10.2753097506899,10.5313814605163
"100080_at",6.41616416473313,6.28169825009883,5.16992500144231,6.26865895502767,7.05093696522523,4.41278152533848
"100081_at",10.9893944998447,10.9027519448502,11.0924928868591,11.0842104621036,10.8325735989774,10.6794800995054
"100082_at",7.85486838326024,8.58270652678079,8.17142702660754,8.07521171134824,7.81826260830447,8.27612440527424
"100084_at",10.9244413923392,10.8752885982227,10.6057572888242,10.5768622134938,10.8772074331834,10.9932922414885
"100085_at",4.35755200461808,6.43128865429159,5.25927248703759,6.43629511983936,7.75822321472672,7.10223819393074
"100086_at",10.0310808517899,9.87144325493414,9.81970011247743,10.4667902378031,10.3645724322959,10.2565625359823
"100088_at",10.7955526779456,10.6753396107891,10.083213368249,10.3167340709723,10.5983317044409,10.8093662078161
"100089_at",9.47451716417449,9.80170835891646,9.30355245558372,8.60139939053183,8.82304872916275,8.89117612475454
"100091_at",11.1178378715499,11.0133226734254,10.9129641628704,11.0272148851598,10.9620283927778,10.9538326821453
"100093_at",10.1100917519251,10.0015489382631,9.76950729143624,10.150508905164,10.3285627382816,9.93810932621924
"100094_at",10.888667155381,10.9470524367625,10.8930739584899,10.930367747439,10.7286858325981,10.8901122463512
"100095_at",9.85813644957963,9.51056638944875,8.81954046050572,9.55036201540073,9.76520320665317,10.1351962366534
"100099_at",9.68474862042163,9.48864353985378,9.83715484084354,9.14287288676806,9.49505552836802,8.87958324961278
"100100_at",2.78659636189081,5.25171909260596,4.37155886261196,3.37851162325373,2.53605290024021,6.50462039240355
"100101_at",10.9142356223319,10.9846320700901,10.8497178464597,11.0384389253378,11.1199786096549,11.075077973685
"100103_f_at",9.15228484230658,9.23242092717608,9.62662165235837,9.61102479730735,9.29576893442051,8.75955534320631
"100104_r_at",6.51884982870769,5.43629511983936,5.877744249949,5.85299758761332,6.17392693199981,5.38887833881199
"100106_at",5.49825086752783,4.82273014794452,6.13545278418517,5.63226821549951,5.53605290024021,6.21529030565123
"100109_s_at",6.34518344718767,3.33628338786443,7.12722055048807,3.18586654531133,2.20163386116965,5.21723071622067
"100112_at",7.28632672709055,7.57516103342539,7.45285896471381,6.67807190511264,7.4708621994137,7.01346225980656
"100113_s_at",7.75555526197214,8.1893304006149,8.01010845347429,7.75755668893945,7.81570350334807,8.34118521356844
"100115_at",10.0883907473131,10.1897010351811,9.95084746839872,9.64709860726341,9.912440294869,9.96361861744397
"100116_at",10.1577258772836,10.3004669645978,10.0590740146636,9.98655314975666,9.98484564975552,10.0903771100679
"100117_at",4.62058641045188,5.34695688937888,3.15380533607904,3.47248777146274,3.98185265328974,3.90689059560852
"100120_at",6.86046625851717,7.32192809488736,7.06824086131282,6.59991284218713,6.81249822533356,6.0746766862945
"100122_at",7.16390121381454,6.06824086131282,6.78920757534734,7.12205144771389,7.14974711950468,7.30469355747101
"100123_f_at",12.5371213114682,12.4401943682559,12.4288573875538,12.2129218961957,12.1315676210937,12.0444624271656
"100124_r_at",10.477252323938,10.6281721039218,10.677631562332,10.2986354067342,10.2977187551009,10.3884478763171
"100125_at",10.7303852203214,10.7859428193923,10.5871211704757,10.7185328760692,10.3742787741315,10.5647211184846
"100126_at",9.34850686501508,9.38995393346472,9.1048607997082,9.06716542701711,9.04712391211403,9.22737527362621
"100127_at",7.53993424517179,7.56757586852411,6.66959375118833,7.71355835640479,7.35138098067433,7.12205144771389
"100128_at",11.5722738911632,11.7393587074334,11.6730881929094,12.0421723531749,11.9932214673689,11.8523344319864
"100130_at",6.60880924267552,6.22689381357139,7.4643415327611,7.13545278418517,6.01792190799726,7.73470962022584
"100131_at",6.63517394667492,6.5668151540109,4.05311133645956,6.4643415327611,5.93073733756289,4.91647664443772
"100133_at",7.5909612413426,7.24887634283713,7.48864353985378,7.25361115194717,7.43379405875492,7.55765515472542
